Auteurs,References articles
Z.Was,['9707116']
Bs Acharya,"['9707118', '9803260', '9805073', '9805176', '9808014']"
M O'Loughlin,['9707118']
S.Gukov,"['9707120', '9709138', '9710239', '9711112', '9906070']"
Michael Monastyrsky,['9707121']
Sergei Nechaev,['9707121']
Alec Matusis,"['9707135', '9711051', '9804058', '9805064', '9808006', '9902042', '9903196', '9911222', '0002075']"
D.M.Mladenov,"['9707136', '9906033', '0110016', '0202145', '0209107', '0210022']"
E.Vianello,['9707137']
M.Olechowski,"['9707143', '9801030', '0203055', '0205166', '0205012', '0206254', '0208146', '0303101']"
M.Yamaguchi,"['9707143', '9801030']"
A.D.Mitov,['9707144']
Moulay Brahim Sedra,['9707145']
M.Burkardt,"['9707152', '9712032', '9807035', '0004050']"
H.El-Khozondar,['9707152']
A.Ludwig,['9707159']
Naofumi Kitsunezaki,"['9707162', '0010038', '0108181', '0206157']"
Rainer Häußling,['9707165']
Stephan Kappel,['9707165']
Andreas U.Schmidt,['9707166']
L.A.Sadun,['9707169']
Feike Hacquebord,"['9707179', '9804121', '9909227']"
B.Van De Sande,"['9707180', '9806231', '9810236']"
D.Papadopoulos,['9707183']
Alfredo T.Suzuki,"['9707187', '9709024', '9709144', '9709167', '9712104', '9712108', '9905022', '0008143', '0009232', '0009075', '0105022', '0109205', '0110047', '0204036', '0304065']"
Alexandre G.M.Schmidt,"['9707187', '9709024', '9709144', '9709167', '9712104', '9712108', '9905022', '0008143', '0009232', '0009075']"
Konstantin Zyablyuk,"['9707193', '9804107']"
U.Miami-Physics,['9707196']
S.C.Woon,"['9707206', '9812234']"
Cemsinan Deliduman,"['9707215', '9806085', '0103042', '0211288']"
P.Kuusk,['9707216']
J.Ord,['9707216']
Anamarija Borstnik,['9707218']
V.Cirigliano,['9707219']
M.Varadarajan,"['9707221', '9811222']"
Zygmunt Lalak,"['9707223', '9709214', '9811133', '9903160', '9906148', '9908147', '9912206', '0002164', '0004093', '0006139', '0009167', '0102145', '0103081', '0107257', '0109074', '0110141', '0204195', '0207102', '0210053', '0211043', '0303167', '0303227']"
Ph Brax,['9707226']
C.A.Savoy,"['9707226', '0104077']"
T.Frederico,"['9707231', '9708032', '0106219']"
R.M.Marinho,['9707231']
Patricia Schwarz,['9707233']
Gianguido Dall'Agata,"['9707236', '9707044', '9806140', '9807115', '9904198', '9905226', '9907216', '0103106', '0104056', '0104156', '0107264', '0112136', '0201270']"
N.Dragon,"['9707238', '9711025', '9805152', '9805199']"
H.Guenther,['9707238']
U.Theis,"['9707238', '9711025', '9805152', '9805199']"
Djamel Dou,['9707239']
Roberto Percacci,"['9707239', '0207033', '0304222']"
Sang-Jin Sin,"['9707247', '9707001', '9707003', '9801032', '9806170', '9807156', '9907126', '9911117', '0005013', '0104232', '0106093', '0201132', '0202097', '0206238', '0207077', '0303138']"
Sung-Soo Kim,"['9707252', '9805010']"
H.D.Doebner,['9707254']
K.Lazarow,['9707254']
C.Laroche,['9707256']
Takashi Yokono,"['9707258', '9711117', '9712029', '9803123', '9903081', '9912266', '0012030', '0110209', '0207004']"
Steve Hsu,['9707260']
Myck Schwetz,"['9707260', '9708122', '9710125']"
J.De Jaegher,"['9707262', '9812207']"
Seung-Geun Lee,['9707001']
Chanyong Park,"['9707003', '9807156', '9909106', '9911117', '0005013', '0205093', '0207194']"
Javier Borlaf,"['9707007', '9805017']"
A.Patrascioiu,"['9707010', '0001097', '0002153']"
E.Seiler,"['9707010', '0001097', '0002153']"
G.German,"['9707015', '9707037', '0006200']"
Marta L.Trobo,['9707016']
Francisco A.Brito,"['9707016', '0105296', '0206180']"
Dionisio Bazeia,"['9707016', '0105296', '0203050']"
Boris Pioline,['9707018']
Jaume Gomis,"['9707019', '9710124', '9711105', '9712230', '9803119', '9804060', '9810132', '9906242', '0001200', '0003215', '0005129', '0006160', '0006236', '0009181', '0103115', '0106034', '0109177', '0111060', '0202157', '0206166', '0210153', '0301250']"
H.Pierre Noyes,"['9707020', '9710077']"
Geon Hyoung Lee,"['9707035', '9804094']"
Olindo Corradini,"['9707036', '9810119', '0009022', '0010118', '0103031', '0107167', '0108055', '0201201', '0211134', '0212101']"
Yu Jiang,['9707037']
Machiko Hatsuda,"['9708001', '9712068', '9804087', '9903234', '9906103', '0001214', '0007009', '0010189', '0106114', '0106202', '0202190', '0204002', '0205092', '0207157', '0211184', '0302027']"
M.Requardt,['9708010']
Adel Khoudeir,"['9708011', '9712175', '9712212', '0012064', '0103245']"
Yoan Parra,['9708011']
Raman Sundrum,"['9708015', '9810155', '9906064', '9910202', '0001197', '0012158', '0105137', '0108025', '0111231', '0209050']"
Konstantin G.Zloshchastiev,"['9708018', '9911012', '9911013', '9912063', '9912064', '0006002', '0008004', '0101075', '0102127']"
S.Mayburov,"['9708020', '0210113']"
Kostyantin Ilienko,['9708024']
Aleksandr A.Zheltukhin,['9708024']
O.Tabata,['9708028']
Hirotaka Sugawara,"['9708029', '0304164']"
N.O.Agasian,['9708030']
Jan O.Conrad,"['9708031', '0009251', '0101023']"
C.F.De Araujo,['9708032']
Jrl.Tomio,['9708032']
S.K.Adhikari,['9708032']
Daiji Ennyu,"['9708033', '9902001', '0212044']"
Gysbert Zwart,"['9708040', '9710057', '9808128', '9905068', '9910193']"
S.Bronoff,['9708043']
K.Farakos,"['9708043', '0007079', '0010211']"
C.P.Korthals Altes,['9708043']
T.R.Tran,['9708055']
M.Nazah,['9708057']
Dieter Mayer,"['9708058', '9708059', '9806192']"
Zbigniew Walczak,"['9708059', '9806192']"
M.Leibundgut,['9708061']
P.Minkowski,"['9708061', '0003097', '0205240', '0301155']"
A.Gregori,"['9708062', '9901117', '9901123']"
M.B.Voloshin,"['9708067', '9709137', '9812116']"
Joachim Kupsch,['9708069']
Oleg G.Smolyanov,['9708069']
Jae-Sok Oh,['9708072']
M.R.Abolhasani,['9708073']
R.Manvelyan,"['9708076', '9805148', '9809118', '9901084', '9907011', '9912061', '0001179', '0002060', '0003017', '0005256', '0103082', '0111203', '0112233', '0212324']"
A.Melikyan,"['9708076', '9805148', '9809118', '0103229', '0107229', '0110100', '0111158', '0203144', '0210012']"
R.Mkrtchyan,"['9708076', '9805148', '9809118', '9901084', '9907011', '0103082', '0112233']"
M A Grigoriev,"['9708077', '9804156', '9807023', '9901046', '9906209']"
Oliver Dewolfe,"['9708084', '9804210', '9805220', '9809026', '9812209', '9812028', '9902179', '0002226', '0009156', '0105047', '0111135', '0205080', '0208123', '0303249']"
C.Linhares De Jesus,"['9708098', '9801021', '9801151']"
Shih-Yuin Lin,['9708101']
Kin-Wang Ng,"['9708101', '9912134']"
Jifeng Yang,"['9708104', '9801004', '9801005', '9807037', '9808047', '9901138', '9904055', '9908111']"
C.Kohler,['9708106']
Gentil O.Pires,['9708111']
Francesco Sannino,"['9708113', '9803225', '9806229', '0207039', '0207163']"
A.Teschendorff,"['9708116', '9806191', '9811034']"
A.Rozenberg,['9708119']
Pierre Gosselin,['9708121']
De-Hone Lin,"['9708125', '9708144', '9709052']"
Marcia E.Knutt-Wehlau,"['9708126', '9711120', '9711151']"
M.Petrini,"['9708131', '9710237', '9810126', '9903026', '9909047', '0002172', '0006048', '0104026', '0112236', '0203203', '0303191', '0304251']"
Joseph Lykken,"['9708134', '9806080', '9908076', '0006191']"
S.M.Klishevich,"['9708150', '9708151', '9805174', '9810228', '9811030', '9812005']"
Anton E.M.Van De Ven,"['9708152', '0211246']"
J.A.Briginshaw,['9708158']
Liviu Tatar,['9708159']
K.Foerger,"['9709004', '9812154', '9901020', '9904092', '9909010', '9909054']"
Leznov A.Nyuzbashyan E.A,['9709007']
Mario Paschke,['9709009']
Florian Scheck,['9709009']
S.Yankielowizc,['9709010']
Romeo Brunetti,['9709011']
Klaus Fredenhagen,"['9709011', '0101079', '0211242', '0303037']"
X.M.Ding,"['9709016', '9710106']"
B.Y.Hou,['9709016']
B.Yuan Hou,['9709016']
Dong Won Lee,"['9709020', '9811104']"
Merav Hadad,['9709022']
Y.Strauss,"['9709036', '9804154']"
D.Delepine,['9709039']
J.Weyers,['9709039']
Emilian Dudas,"['9709043', '0210294', '0303155']"
Vadim V.Varlamov,"['9709051', '9709112', '9712217']"
Yu.Malyuta,"['9709056', '9803241', '9804178', '9811197']"
T.Obikhod,"['9709056', '9803241', '9804178', '9811197']"
Wlodzimierz Piechocki,['9709059']
Jean Alexandre,"['9709060', '9712147', '9902144', '9906017', '0009204', '0010128', '0101112', '0202047', '0301034']"
J.F.Morales,"['9709063', '9801128', '9811013', '9812039', '9902202', '0012118', '0102043']"
M.Serone,"['9709063', '9812039', '9903099', '9905183', '0110073', '0203190', '0207013', '0210075']"
M.J.Cassidy,['9709066']
F.Del Aguila,"['9709067', '0302023']"
A.Culatti,['9709067']
M.Perez-Victoria,"['9709067', '9808071', '9905061', '9912250', '0003218', '0202082', '0302023']"
Houari Merabet,"['9709070', '9710164']"
Shao-Shiung Lin,"['9709073', '0105140', '0107047']"
Yuri Gusev,['9709074']
Andrei Zelnikov,"['9709074', '0104198']"
Carlos M.Naon,['9709085']
V.D.Skarzhinsky,"['9709086', '9709095', '9709133', '9709134']"
J.Audretsch,"['9709086', '9709095', '9709133', '9709134']"
Chul Koo Kim,"['9709092', '0101103', '0104205', '0204046', '0207261']"
Gia Dvali,"['9709093', '9807140', '9901032', '9907209', '0005016', '0008054', '0102142', '0104201', '0106001', '0106058', '0111266', '0202174', '0208096', '0209217', '0209227', '0304043']"
I.A.Pedrosa,['9709094']
E.R.Bezerra De Mello,"['9709094', '9809212', '0012243', '0012264', '0109221', '0110082', '0205046', '0207045', '0301087', '0301169', '0304029']"
Subir Mukhopadhyay,"['9709098', '9711131', '9801141', '9806126', '9812081', '9909107', '0009047', '0102146', '0204056', '0206032']"
L.Maiani,['9709110']
M.Testa,"['9709110', '9803147']"
Hugo Reinhardt,['9709115']
J.F.Beacom,['9709117']
A.B.Balantekin,"['9709117', '0003260', '0007161', '0108130']"
Shmuel Nussinov,"['9709127', '9802149']"
Riuji Mochizuki,"['9709128', '9712237']"
Takayuki Suga,"['9709128', '9712237']"
S.A.Garnov,"['9709130', '0005022']"
Ulf.Jasper,"['9709133', '9709134']"
C.Nash,"['9709135', '9903040', '9909189', '9910139', '0001163', '0001164', '0003125', '0005018', '0006230', '0207007', '0207078', '0211276']"
M.A.Shifman,['9709137']
M.Rooman,"['9709142', '9911142', '0002156', '0008147', '0206189']"
B.Iochum,"['9709145', '9912217']"
T.Schucker,"['9709145', '0101217', '0104038', '0110068']"
Wolfgang Lerche,['9709146']
L.R.Baboukhadia,['9709150']
A.A.Khelashvili,"['9709150', '0007059']"
N.A.Kiknadze,['9709150']
V.P.Maslov,"['9709151', '9805089', '9807061', '9807134']"
O.Yu.Shvedov,"['9709151', '9805089', '9807039', '9807061', '9807134', '0002108', '0009035', '0009036']"
A.Bonanno,"['9709155', '9903173', '0002196', '0010095', '0106133', '0303154']"
D.Zappala',"['9709155', '9903173', '0106230', '0202167', '0303030']"
Dmitri V.Shirkov,['9709156']
Hadi Salehi,"['9709157', '9912115', '0011061', '0011062', '0011063', '0301208', '0302178']"
H.Ghafarnejad,"['9709158', '0001096']"
H.Salehi,"['9709158', '9810207', '0001095', '0001096', '0103072']"
Jan T.Sobczyk,"['9709162', '9710040']"
A N Theron,"['9709163', '9711024']"
H B Geyer,"['9709163', '9711024']"
Pierre Grangé,"['9709165', '0202081']"
Peter Ullrich,['9709165']
Ernst Werner,"['9709165', '0202081']"
Steven Corley,"['9709166', '9710075', '9808184', '9906102', '0004030', '0106067', '0108178', '0204050', '0205221', '0211016']"
Sachindeo Vaidya,"['9709170', '9906112', '0007011', '0102212', '0109102']"
Sascha Vongehr,"['9709172', '9907034', '9907077']"
D.Popović,['9709173']
D.C.Brody,['9709175']
Thomas Appelquist,"['9709177', '9901109', '9904172']"
Andreas Nyffeler,['9709177']
A.Imaanpur,"['9709178', '9803042', '9906131', '0008109', '0105143', '0302154']"
M.Yu.Zotov,"['9709181', '0111099']"
Renzo Collina,"['9709185', '9907092']"
Paolo Tomassini,['9709185']
Aram A.Saharian,"['9709188', '9712091', '0012185', '0101155', '0110029', '0110044', '0204095']"
James A.Feigenbaum,"['9709196', '9807114']"
Hisakzau Minakata,['9709197']
E Rodulfo,['9709201']
A.Sako,['9709203']
Jnr,['9709205']
A.M.Levin,['9709207']
Andre' Lukas,['9709214']
A.I.Davydychev,"['9709216', '9806248', '9908032', '0005287', '0012189', '0203212', '0209233', '0303162']"
A.Zoupas,['9709223']
Viktoria Malyshenko,['9709226']
Domingo Marin Ricoy,['9709226']
Stephan Melosch,['9709227']
Detlef R.Nolte,"['9710001', '9803139', '0005001', '0012074', '0012202', '0106163']"
Gesualdo Delfino,"['9710019', '0110181']"
Aneesh Manohar,['9710024']
B.Chakraborty,"['9710028', '9710211', '9806033', '9810191', '9904156', '0008168']"
A.S.Majumdar,"['9710028', '9810191', '9904156']"
Kei Ito,"['9710029', '9712225', '9903061']"
A.V.Bratchikov,"['9710036', '9712243', '9811040', '9912112', '0002080', '0012257', '0204019']"
A.L.Koshkarov,['9710038']
S.Jaimungal,"['9710044', '9712173', '9801098']"
Xuan Peiqi,['9710045']
P.Lavrov,"['9710050', '0211128']"
P.Moshin,"['9710050', '9712204']"
M.F.Ertl,['9710051']
M.O.Katanaev,"['9710051', '0209014', '0304170']"
Khalil M.Bitar,['9710052']
Urs M.Heller,"['9710052', '9902117']"
Yeuk-Kwan E.Cheung,"['9710053', '9710206', '9803031', '9805045', '9812172', '0211147']"
Morten Krogh,"['9710053', '9712050', '9801034', '9803031', '9803088', '9805045', '9811080', '9812172', '9908049', '9911084', '0002097', '0109170']"
Mohamed Benarous,"['9710054', '9710055']"
Kazunori Takenaga,"['9710058', '9909076', '9911097', '0111183', '0205173', '0212192']"
S.Alam,['9710059']
Theodore M.Hall,"['9710062', '9902064']"
C.Deliduman,"['9710066', '9803188', '9812161', '9904063', '9906223', '9907087']"
K.Saygili,['9710070']
Filippo Colomo,['9710071']
Antonios Tsapalis,['9710074']
E.D.Jones,['9710077']
A.Di Giacomo,"['9710080', '9809047']"
Juan Pedro Garrahan,['9710084']
Andy Wilkins,"['9710088', '9804012', '9806136', '9812206', '9905195']"
Hou Defu,"['9710090', '9801103']"
Antonio Liguori,"['9710092', '9908159']"
Mihail Mintchev,"['9710092', '9908159', '0007002', '0103259', '0111019']"
David Tong,"['9710098', '9803148', '9902005', '9907014', '9907098', '9911094', '0001066', '0005186', '0007083', '0007124', '0008092', '0008221', '0012178', '0105075', '0202012', '0202125', '0202126', '0204186', '0207244', '0210010', '0212235', '0303151']"
I.H.Brevik,"['9710101', '9712060']"
Maciej A.Nowak,['9710103']
Gabor Papp,"['9710103', '9809143', '9904081']"
D.V.Naumov,"['9710108', '9906015']"
J.Mannix,['9710115']
G.Dall'Agata,"['9710127', '9812170', '9903041', '9910066', '9912107', '0002199', '0004111', '0101214', '0207117', '0211118']"
Wellington Da Cruz,"['9710133', '9802123', '9802135', '9803020', '9803043', '9905229', '0002181', '0007123', '0008171', '0008222']"
Ioseph L.Buchbinder,['9710142']
Luiz A.Ferreira,"['9710147', '9810067']"
Meshcheryakov V.A,['9710167']
E.Zafiris,['9710169']
Antonio Filippi,"['9710171', '9804071', '9804072', '9809050', '9809098', '0102040']"
M.P.Blencowe,['9710173']
A.P.Korte,['9710173']
Esther Perez,"['9710176', '9712139', '9807155', '9812105']"
L.Cooper,['9710179']
Ricardo Troncoso,"['9710180', '9807029', '9902003', '9903204', '9907109', '9912045', '0003271', '0201170', '0204029', '0205319', '0210116', '0211024', '0301190']"
M.Faber,"['9710190', '9805166', '9810108', '9907048', '9912116', '0007229', '0012083', '0012147', '0105057', '0112183', '0112184', '0204237', '0205249', '0206034', '0206244', '0210104', '0212226']"
A.N.Ivanov,"['9710190', '9805166', '9810108', '9907048', '0012083', '0012147', '0105057', '0112183', '0112184', '0204237', '0205249', '0206034', '0206244', '0210104', '0212226']"
N.I.Troitskaya,"['9710190', '9805166', '9810108', '9907048', '9912116', '0012083', '0012147', '0112060']"
K.G.Klimenko,"['9710193', '0012256', '0106049']"
K.Selivanov,"['9710195', '9710196', '9710197', '9711111', '9801044', '9904041', '9910229', '0005053', '0005066', '0006044']"
A.Rosly,"['9710196', '9801044', '9805183']"
Oyvind Tafjord,"['9710204', '9711046', '9802034', '9803195', '9902197', '9911136', '0008015', '0102080', '0105035', '0109127']"
K.A.Bronnikov,"['9710207', '0002200', '0207213']"
H.Ikemori,"['9710209', '9811202', '9911053', '0004173', '0303090']"
S.Kitakado,"['9710209', '9811202', '9911053', '0004173', '0303090']"
H.Nakatani,"['9710209', '9811202']"
H.Otsu,"['9710209', '9811202', '9911053', '0004173', '0303090']"
T.Sato,"['9710209', '9811202', '9911053', '0004173', '0303090']"
Emil J.Martinec,"['9710217', '9804111', '9809021', '9909049', '0005031', '0101199', '0111154', '0206175', '0210231', '0212059', '0303087']"
Marijan Ribaric,"['9710220', '9810138', '9902136', '9909207', '0003094', '0010209', '0110010']"
Luka Sustersic,"['9710220', '9810138', '9902136', '9909207', '0003094', '0010209', '0110010']"
A.A.Penin,['9710222']
Geza Fulop,['9710224']
Dirk Prange,"['9710225', '9904136', '0009124']"
Ramon F.Alvarez-Estrada,['9710227']
Angel Gomez Nicola,['9710227']
M.Nakamura,['9710232']
N.Okamoto,['9710232']
H.Minowa,['9710232']
Bert Schroer,"['9710234', '9712124', '9809017', '9810080', '9906071', '9906089', '9908021', '9911100', '9912008', '0003243', '0005110', '0005134', '0010290', '0012021', '0106064', '0106066', '0106284', '0108203', '0111188', '0112168', '0202085', '0208113', '0301082', '0301107', '0303241']"
Christoph Adam,"['9710238', '9806210', '9806211', '9806212']"
J.Gaite,"['9710241', '0005107']"
Vatche Sahakian,"['9710242', '9809061', '9906137', '9910099', '0002126', '0008073', '0010237', '0102200', '0107180', '0112063', '0209179']"
M.S.Bremer,['9710244']
D.Matalliotakis,['9710247']
Luca Vergnano,['9710248']
S.Wiles,"['9710250', '9812212']"
F.Riccioni,"['9711059', '0302135']"
Masafumi Hasegawa,['9711060']
Hanae El Hattab,['9711061']
Daniela Bigatti,"['9711063', '9712072', '9802129', '9804120', '9908056', '0002044', '0006012', '0109018']"
G.N.J.Ananos,"['9711065', '0102072']"
Kazuo Hosomichi,"['9711072', '9806010', '0002069', '0005065', '0005164', '0009107', '0105283', '0105217', '0108093', '0202032']"
T.Suyama,"['9711073', '0110077', '0203277']"
U.Kraemmer,['9711075']
Fabio Riccioni,"['9711077', '9712176', '9806129', '9812042', '9910246', '0101074', '0107090', '0203157', '0301021']"
Karl-Henning Rehren,['9711085']
Mikhail Z.Iofa,"['9711086', '9803083', '9804129', '9806086', '0104163', '0111254', '0203046', '0204093']"
Agapitos Hatzinikitas,"['9711088', '9908103', '0001078', '0103073', '0103074', '0105011', '0203128', '0303043', '0304024']"
Koenraad Schalm,"['9711088', '9801105', '9810051', '9811155', '9901144', '9909087', '0004103', '0010207', '0108161', '0208163', '0212250']"
Poul H.Damgaard,"['9711096', '9711047']"
Shinsuke M.Nishigaki,"['9711096', '9712051', '0207049']"
Mark Trodden,"['9711099', '9901062', '9905217', '9906047', '9911083', '0010032', '0012226', '0102135', '0106143', '0201063']"
J.R.Reyes Martinez,['9711103']
Kamran Kaviani,['9711109']
Shahrokh Parvizi,"['9711109', '9907146', '9910062', '0008120', '0108095', '0202025', '0203231', '0207037', '0208187', '0302083']"
M.Langham,"['9711114', '9901030', '0002032']"
O.Obregon,"['9711115', '9802063', '9807188', '9812175', '9812164', '9902035', '9906154', '0003083', '0008130', '0012220', '0103066', '0107250', '0210203', '0302180']"
Yurii Sitenko,"['9711121', '9801131']"
P.Sundell,"['9711127', '9804166', '9805125', '9902171', '9903020', '9908089', '0001169', '0005026', '0006112', '0007052', '0012139', '0012168', '0103188', '0105288', '0105001', '0107186', '0112071', '0112100', '0205131', '0205132', '0207101', '0211113']"
P.Bozhilov,"['9711136', '9806134', '9901153', '9901160', '9904208', '9909092', '9911210', '0008006', '0011032', '0103154', '0108162', '0111103', '0206253', '0211181']"
Vad.Yu.Zeitlin,['9711137']
J.M.Mourao,['9711139']
M.Hassan,"['9711140', '9902008', '0001222']"
Sergey A.Cherkis,"['9711145', '9803112', '9807237', '9906203', '0006050', '0011081', '0109141', '0210105']"
S.S.Gershtein,['9711147']
A.A.Logunov,['9711147']
M.A.Mestvirishvili,['9711147']
C.A.Lutken,"['9711150', '9912147']"
E.S.Moreira Jr.,"['9711152', '0301219']"
Hang Bae Kim,"['9711158', '9808122', '9909053', '0001209', '0210101', '0301076', '0301142']"
Carlos Munoz,['9711158']
Piet Claus,"['9711161', '9809045', '9812220', '9812066', '9812087', '9812114', '9904066', '9905112', '9906118', '9906195']"
Chris Hull,"['9711165', '0210209', '0210269']"
G.R.Farrar,"['9711166', '9806204']"
G.Gabadadze,"['9711166', '9806204', '9808005', '9910050', '0002190', '0003054', '0010071']"
A.V.Nesterenko,['9711168']
G.Cleaver,"['9711178', '0002089']"
J.R.Espinosa,['9711178']
L.Everett,"['9711178', '9903051']"
P.Langacker,"['9711178', '9903051']"
Frank Gronwald,['9711180']
L.C.Malacarne,"['9711184', '9809062', '9908181', '0004168']"
Honglo Lee,['9711186']
Ettore Remiddi,['9711188']
A.Tort,"['9711190', '9810033', '0110130']"
J.Rafelski,['9711190']
Oswaldo M.Del Cima,"['9711191', '9803247', '9902084', '0012067']"
Daniel H.T.Franco,"['9711191', '9803247', '9812023', '9902084', '0101107', '0212038']"
Jose A.Helayel-Neto,"['9711191', '9803247']"
A.A.Maslikov,['9711192']
I.A.Naumov,['9711192']
T.Stroh,['9711192']
G.G.Volkov,['9711192']
Elsebeth Schroder,['9711195']
Ola Tornkvist,['9711195']
Jung-Tay Yee,"['9711202', '9803001', '9803135', '9903129', '0107106', '0211029', '0301120', '0303235']"
Tom Adawi,"['9711203', '9811145']"
Ulf Gran,"['9711203', '9811145', '9812144', '9912106', '0007035', '0010042', '0011282', '0104168', '0105086', '0108113', '0109107', '0303253']"
J.Brodie,"['9711001', '0010105', '0107178']"
Sean Carroll,['9711008']
Hanno Hammer,"['9711009', '9810141', '9811118']"
N.C.Leung,['9711013']
A.B.Bylev,"['9711022', '9712203']"
V.A.Franke,"['9711022', '9803035', '9901110', '9901029', '9910114', '0002062', '0011224', '0111009', '0303180']"
E.V.Prokhvatilov,"['9711022', '9803035', '9901029', '9910114', '0002062', '0011224', '0111009', '0303180']"
J.Erlich,"['9711035', '9801108', '9808026', '0110188']"
A.Knutson,"['9711036', '9804075']"
Simeon Hellerman,"['9711037', '9905217', '9911083', '0103179', '0104010', '0104100', '0104180', '0107200', '0109069', '0207226', '0208174', '0212223']"
"D.M""Ulsch","['9711050', '9806117', '0108058', '0202053', '0304096']"
C.- W.H.Lee,['9711052']
Michael Graesser,"['9711054', '0111235', '0201256']"
Bogdan Morariu,"['9711054', '9807198', '9810099', '9810185', '9811213', '9905218', '9909021', '0003228', '0102157', '0106072', '0107267', '0201070']"
T.Wilke,"['9711057', '9910107']"
T.Guhr,"['9711057', '9910107']"
T.Wettig,"['9711057', '9803007']"
Tatsuo Suzuki,"['9712002', '9802105', '9804004', '9806084', '9809149', '9907049', '0002003', '0103104']"
C.Hull,"['9712007', '0208155', '0303036']"
R.Thibes,['9712014']
V.Ch.Zhukovsky,"['9712016', '9812221', '9812228', '9910137', '0001116', '0012256', '0106049', '0107192', '0203012']"
T.M.Chiang,['9712023']
C.I.Lazaroiu,"['9712023', '9805132', '9807040', '9811201', '9907186', '0001025', '0002004', '0010269', '0011257', '0102183', '0102122', '0105063', '0107162', '0107063', '0110288', '0111239', '0112029', '0204249', '0205070', '0208154', '0208177', '0303008', '0303032', '0303054']"
D.Mülsch,"['9712024', '0210268', '0211061', '0304023']"
B.M.Barbashov,"['9712030', '9901065', '0005140', '0111164']"
M.Pillin,"['9712033', '9812106', '0007077', '0010278']"
Alfio Bonanno,"['9712038', '0001060']"
Dario Zappala',['9712038']
G.Bertoldi,"['9712039', '9712109', '0003131', '0003200']"
Tomasz Radozycki,"['9712041', '9809129', '9811206']"
Chandrashekar Devchand,"['9712043', '9801117', '9804052', '9806243', '9808053', '0010056', '0109072', '0109094', '0205030']"
M.Ya.Palchik,['9712045']
R.Gopakumar,"['9712048', '9712077']"
C.A.Hurst,['9712052']
Naoto Yokoi,"['9712054', '9812047', '9912096', '0011158', '0101222', '0208171']"
Joao D.Correia,['9712058']
H.Ocampo,['9712060']
H.Liu,['9712063']
O.Sarioglu,"['9712067', '9809153']"
Manoelito M De Souza,"['9712069', '9911233', '0006214', '0006237', '0006250']"
Jair V.Costa,['9712069']
Adriano S.Pedra,['9712069']
Shiraz Minwalla,"['9712074', '9803053', '9806074', '9904142', '9912072', '0003160', '0005048', '0006062', '0007226', '0009142', '0107165', '0111212', '0205089', '0209002', '0211063']"
Constantin P.Bachas,"['9712086', '9806199']"
Adam Schwimmer,"['9712086', '9910013']"
C.-W.H.Lee,"['9712090', '9806002', '9806019', '9810233', '9906150', '9906060', '9907130', '0108149', '0303086']"
W.Buchmuller,['9712093']
A.Jakovac,['9712093']
H.A.Morales-Tecotl,"['9712096', '0208192']"
J.D.Vergara,"['9712096', '0105259']"
S.Arnone,"['9712098', '9812022', '0012111', '0102011', '0102054', '0110104']"
A.Panza,['9712098']
Klaus D.Rothe,"['9712099', '0204188', '0208106', '0210085', '0302112', '0302210']"
Dariusz Chruscinski,"['9712101', '9712106', '9712161', '9803100', '9805042']"
V A Sirota,"['9712102', '9805179']"
Judith Castelino,['9712105']
Jens Mund,"['9712119', '0011237', '0101227', '0207057', '0208195']"
M.Hirayama,"['9712120', '9806098', '9812185', '9907063', '0207275', '0303092']"
S.Matsubara,['9712120']
M.Reenders,['9712123']
Joan Simón,"['9712125', '9803196', '9803040', '9807113', '9812095', '9909005', '0110170', '0201061', '0208107', '0208108', '0208165']"
Dean Lee,"['9712127', '9811117', '9812147', '9901100', '9905077', '9906189', '9908131', '9910103', '0002251', '0003296', '0007010']"
C.Schwartz,"['9712133', '9809197', '9903131']"
P.Meessen,"['9712136', '9712196', '9806120', '9810240', '0003060', '0003071', '0003248', '0012032', '0111031', '0111130', '0205106']"
P.M.Ferreira,"['9712138', '9712140']"
Fotini Markopoulou,"['9712148', '9904009', '9910146', '9912137', '0006199', '0302111']"
Sinisa Karnas,['9712151']
Mark Van Raamsdonk,"['9712159', '9803003', '9806066', '9812239', '9904095', '9905174', '9910052', '9912072', '0002186', '0007157', '0011044', '0012065', '0103179', '0110093', '0112081', '0205185', '0207050', '0211139']"
Herve Partouche,['9712164']
Hm Chan,"['9712171', '9904102', '0007016']"
St Tsou,"['9712171', '9803159', '9904102', '0001020', '0010261', '0110256']"
Florin Constantinescu,"['9712174', '0006042', '0106090', '0106091', '0106156']"
Pio Jose Arias,['9712175']
Isao Kishimoto,"['9712180', '9909139', '0002138', '0103018', '0110124', '0112169', '0205275']"
Klaus Junemann,"['9712182', '9901164', '9912016']"
C.P.Bachas,"['9712187', '9903210']"
Andrew Pocklington,"['9712197', '0208111', '0208202']"
Antonio Dobado,['9712198']
Antonio L.Maroto,"['9712198', '0207207']"
Maria Yurova,['9712200']
Eugene A.Mirabelli,['9712214']
M.Veltman,['9712216']
D.Bellisai,"['9712218', '9812145', '0002110']"
G.Travaglini,"['9712218', '9812145', '0002110']"
J.L.Lucio,['9712219']
M.Ruiz-Altaba,"['9712219', '9803016', '9804082']"
P.Zinn-Justin,"['9712222', '9808043']"
A.Guerra,['9712228']
C.Ohzeki,['9712234']
C.Fronsdal,"['9712239', '9802126', '9806072', '0006009', '0109001']"
F.Darabi,['9712240']
